City_name,lat,long,max_temp,humidity,cloud,wind_speed,country
mehamn,71.04,27.85,7.09,85,100,9.78,NO
marsh harbour,26.54,-77.06,29.29,67,97,3.68,BS
bud,39.45,-86.18,30.0,42,1,3.6,US
nantucket,41.28,-70.1,21.67,88,1,4.6,US
halifax,44.65,-63.57,21.67,79,41,3.01,CA
toul,48.67,5.92,16.0,77,90,3.1,FR
semey,50.41,80.23,19.0,68,95,3.0,KZ
naze,28.37,129.48,27.0,100,75,4.6,JP
goderich,43.75,-81.72,25.56,61,0,0.77,CA
priiskovyy,51.93,116.63,25.72,45,0,1.48,RU
potsdam,52.4,13.07,17.78,86,95,1.46,DE
biak,-0.91,122.88,25.64,80,81,4.13,ID
kirakira,-10.45,161.92,27.27,79,100,6.55,SB
totonicapan,14.92,-91.37,13.89,75,100,0.45,GT
waipawa,-41.41,175.52,10.0,76,4,2.6,NZ
arkhangelskoye,55.85,35.33,15.46,99,61,2.98,RU
rezekne,56.5,27.32,12.18,96,100,3.35,LV
iskateley,67.68,53.15,14.24,82,100,5.4,RU
sun city west,33.66,-112.34,40.0,16,1,4.1,US
puerto escondido,15.85,-97.07,27.97,71,49,1.9,MX
zyryanka,65.75,150.85,7.21,87,100,5.8,RU
arman,59.7,150.17,15.21,56,0,3.88,RU
general roca,-39.03,-67.58,6.0,93,75,1.0,AR
pedro betancourt,22.73,-81.29,26.0,88,75,1.5,CU
russell,32.35,-85.2,29.0,78,1,3.1,US
natal,-5.79,-35.21,24.0,94,20,1.5,BR
kasungu,-13.03,33.48,11.31,90,0,2.26,MW
gilgit,35.92,74.31,24.69,29,51,0.87,PK
sri aman,1.24,111.46,24.0,94,20,2.6,MY
fortuna,40.6,-124.16,18.33,67,20,6.2,US
magnolia,33.27,-93.24,33.33,70,1,3.1,US
saint-augustin,51.23,-58.65,7.81,88,1,1.35,CA
beni suef,29.07,31.1,23.69,46,0,3.45,EG
belmonte,-15.86,-38.88,23.0,88,0,2.1,BR
plettenberg bay,-34.05,23.37,14.21,76,50,4.23,ZA
ostrovnoy,68.05,39.51,11.63,71,0,4.02,RU
hornepayne,49.21,-84.77,22.73,78,5,3.82,CA
dunedin,-45.87,170.5,7.22,77,0,1.34,NZ
savyntsi,49.4,37.06,17.68,72,0,2.24,UA
paragominas,-2.97,-47.48,23.22,91,35,2.08,BR
banjar,-8.19,114.97,25.0,100,40,1.0,ID
ler,8.3,30.14,20.62,95,46,1.47,SS
pahrump,36.21,-115.98,37.22,11,0,4.02,US
wajir,1.75,40.06,22.39,72,97,6.61,KE
rio gallegos,-51.62,-69.22,-1.0,100,90,3.6,AR
xuddur,4.12,43.89,21.13,75,100,9.09,SO
itupiranga,-5.13,-49.33,25.0,83,12,0.57,BR
uyutne,45.2,33.3,23.07,73,0,3.42,UA
port hawkesbury,45.62,-61.35,19.0,82,90,4.1,CA
panaba,21.28,-88.27,25.74,83,98,3.6,MX
asyut,27.18,31.18,26.0,34,0,3.6,EG
benghazi,32.12,20.07,24.26,79,0,4.2,LY
farah,32.5,62.5,23.14,20,0,2.38,AF
vila franca do campo,37.72,-25.43,17.0,77,20,1.0,PT
touba,8.28,-7.68,21.27,95,94,3.01,CI
oranjestad,12.52,-70.03,29.0,74,20,9.8,AW
bandarbeyla,9.49,50.81,27.24,54,20,15.0,SO
jalu,29.03,21.55,26.39,40,0,4.52,LY
teahupoo,-17.83,-149.27,30.0,66,20,9.8,PF
qianan,44.99,124.06,28.05,44,98,2.21,CN
hit,33.64,42.83,29.85,18,0,2.72,IQ
bat yam,32.02,34.75,23.0,73,0,2.1,IL
saint-georges,12.06,-61.75,28.0,78,20,8.2,GD
mingshui,36.72,117.5,24.44,86,99,4.01,CN
savannah bight,16.45,-85.85,28.12,73,100,6.29,HN
impfondo,1.64,18.07,22.14,91,16,0.18,CG
vagur,61.47,-6.81,8.01,73,44,1.35,FO
kudahuvadhoo,2.67,72.89,28.77,67,76,1.8,MV
